dn,objectClass,uid,homeDirectory,group,givenName,sn,displayName,cn,mail,manager,telephoneNumber,title
cn=Olivier Fontana,inetOrgPerson;person;organizationalPerson;posixAccount;top,olivief,/home/olivief,Engineering Operations,Olivier,Fontana,Olivier Fontana,Olivier Fontana,olivief@contoso.com,cn=Carol Troup,(206) 555-7444,Engineer
cn=Michelle Fredette,inetOrgPerson;person;organizationalPerson;posixAccount;top,michelf,/home/michelf,Engineering Operations,Michelle,Fredette,Michelle Fredette,Michelle Fredette,michelf@contoso.com,cn=Carol Troup,(206) 555-6132,Engineer
cn=Arlene Huff,inetOrgPerson;person;organizationalPerson;posixAccount;top,arleneh,/home/arleneh,Strategy Consulting,Arlene,Huff,Arlene Huff,Arlene Huff,arleneh@contoso.com,cn=Jenni Merrifield,(206) 555-9538,Strategy Consultant
cn=Pieter Wycoff,inetOrgPerson;person;organizationalPerson;posixAccount;top,pieterw,/home/pieterw,Marketing,Pieter,Wycoff,Pieter Wycoff,Pieter Wycoff,pieterw@contoso.com,cn=Kelly Krout,(206) 555-9269,Marketing Specialist
cn=Erwin Zischka,inetOrgPerson;person;organizationalPerson;posixAccount;top,erwinz,/home/erwinz,Engineering Operations,Erwin,Zischka,Erwin Zischka,Erwin Zischka,erwinz@contoso.com,cn=Carol Troup,(206) 555-8835,Engineer
cn=Lukas Keller,inetOrgPerson;person;organizationalPerson;posixAccount;top,lukask,/home/lukask,Operations,Lukas,Keller,Lukas Keller,Lukas Keller,lukask@contoso.com,cn=Erika Cheley,(206) 555-3556,Manager
cn=Ken Ewert,inetOrgPerson;person;organizationalPerson;posixAccount;top,kene,/home/kene,Operations,Ken,Ewert,Ken Ewert,Ken Ewert,kene@contoso.com,cn=Erika Cheley,(206) 555-7698,Manager
cn=Justin Thorp,inetOrgPerson;person;organizationalPerson;posixAccount;top,justint,/home/justint,Operations,Justin,Thorp,Justin Thorp,Justin Thorp,justint@contoso.com,cn=Erika Cheley,(206) 555-1393,Manager
cn=Jon Grande,inetOrgPerson;person;organizationalPerson;posixAccount;top,jong,/home/jong,Operations,Jon,Grande,Jon Grande,Jon Grande,jong@contoso.com,cn=Erika Cheley,(206) 555-7649,Manager
cn=Jo Berry,inetOrgPerson;person;organizationalPerson;posixAccount;top,job,/home/job,Operations,Jo,Berry,Jo Berry,Jo Berry,job@contoso.com,cn=Ben Spain,(206) 555-9867,Manager
cn=Hans Gufler,inetOrgPerson;person;organizationalPerson;posixAccount;top,hansg,/home/hansg,Operations,Hans,Gufler,Hans Gufler,Hans Gufler,hansg@contoso.com,cn=Ben Spain,(206) 555-1298,Manager
cn=David Bradley,inetOrgPerson;person;organizationalPerson;posixAccount;top,davidb1,/home/davidb1,Operations,David,Bradley,David Bradley,David Bradley,davidb1@contoso.com,cn=Ben Spain,(206) 555-5934,Manager
cn=Marie Dubois,inetOrgPerson;person;organizationalPerson;posixAccount;top,maried,/home/maried,Operations,Marie,Dubois,Marie Dubois,Marie Dubois,maried@contoso.com,cn=Arturo Lopez,(206) 555-5567,IT Manager
cn=Kevin Kennedy,inetOrgPerson;person;organizationalPerson;posixAccount;top,kevink,/home/kevink,Operations,Kevin,Kennedy,Kevin Kennedy,Kevin Kennedy,kevink@contoso.com,cn=Arturo Lopez,(206) 555-7455,IT Manager
cn=Kai Axford,inetOrgPerson;person;organizationalPerson;posixAccount;top,kaia,/home/kaia,Operations,Kai,Axford,Kai Axford,Kai Axford,kaia@contoso.com,cn=Arturo Lopez,(206) 555-9541,IT Manager
cn=Manish Chopra,inetOrgPerson;person;organizationalPerson;posixAccount;top,manishc,/home/manishc,Sales,Manish,Chopra,Manish Chopra,Manish Chopra,manishc@contoso.com,cn=Lene Aalling,(413) 555-3855,Salesperson
cn=Sunil Uppal,inetOrgPerson;person;organizationalPerson;posixAccount;top,sunilu,/home/sunilu,Marketing,Sunil,Uppal,Sunil Uppal,Sunil Uppal,sunilu@contoso.com,cn=Kelly Krout,(206) 555-2416,Public Relations Specialist
cn=Luis Bonifaz,inetOrgPerson;person;organizationalPerson;posixAccount;top,luisb,/home/luisb,Sales,Luis,Bonifaz,Luis Bonifaz,Luis Bonifaz,luisb@contoso.com,cn=Arthur Yasinski,(108) 5-7862,Salesperson
cn=Kevin Verboort,inetOrgPerson;person;organizationalPerson;posixAccount;top,kevinv,/home/kevinv,Sales,Kevin,Verboort,Kevin Verboort,Kevin Verboort,kevinv@contoso.com,cn=Arthur Yasinski,(206) 555-3654,Salesperson
cn=Christian Jene,inetOrgPerson;person;organizationalPerson;posixAccount;top,christj,/home/christj,Marketing,Christian,Jene,Christian Jene,Christian Jene,christj@contoso.com,cn=Kelly Krout,(206) 555-8834,Marketing Specialist
cn=Felipe Martins,inetOrgPerson;person;organizationalPerson;posixAccount;top,felipem,/home/felipem,Marketing,Felipe,Martins,Felipe Martins,Felipe Martins,felipem@contoso.com,cn=Kelly Krout,(206) 555-2312,Marketing Specialist
cn=John Evans,inetOrgPerson;person;organizationalPerson;posixAccount;top,johnev,/home/johnev,Marketing,John,Evans,John Evans,John Evans,johnev@contoso.com,cn=Kelly Krout,(206) 555-8951,Marketing Specialist
cn=Heinrich Fischer,inetOrgPerson;person;organizationalPerson;posixAccount;top,heinrif,/home/heinrif,Operations,Heinrich,Fischer,Heinrich Fischer,Heinrich Fischer,heinrif@contoso.com,cn=Arturo Lopez,(206) 555-3325,IT Manager
cn=Kirk Nason,inetOrgPerson;person;organizationalPerson;posixAccount;top,kirkj,/home/kirkj,Sales,Kirk,Nason,Kirk Nason,Kirk Nason,kirkj@contoso.com,cn=Jose Saraiva,(91) 555-8595,Salesperson
cn=Brian Cox,inetOrgPerson;person;organizationalPerson;posixAccount;top,brianc,/home/brianc,Operations,Brian,Cox,Brian Cox,Brian Cox,brianc@contoso.com,cn=Keith Dishmo,(206) 555-4515,Procurement Manager
cn=Patricia Doyle,inetOrgPerson;person;organizationalPerson;posixAccount;top,patricd,/home/patricd,Sales,Patricia,Doyle,Patricia Doyle,Patricia Doyle,patricd@contoso.com,cn=Lene Aalling,(312) 555-9181,Salesperson
cn=Ron Gabel,inetOrgPerson;person;organizationalPerson;posixAccount;top,rong,/home/rong,Sales,Ron,Gabel,Ron Gabel,Ron Gabel,rong@contoso.com,cn=April Stewart,(617) 555-2429,Salesperson
cn=Shmuel Yair,inetOrgPerson;person;organizationalPerson;posixAccount;top,shmuely,/home/shmuely,Sales,Shmuel,Yair,Shmuel Yair,Shmuel Yair,shmuely@contoso.com,cn=David Simpson,(404) 555-2693,Salesperson
cn=Phyllis Harris,inetOrgPerson;person;organizationalPerson;posixAccount;top,phyllih,/home/phyllih,Marketing,Phyllis,Harris,Phyllis Harris,Phyllis Harris,phyllih@contoso.com,cn=Kelly Krout,(206) 555-1214,Marketing Specialist
cn=Jenny Lysaker,inetOrgPerson;person;organizationalPerson;posixAccount;top,jennyl,/home/jennyl,Sales,Jenny,Lysaker,Jenny Lysaker,Jenny Lysaker,jennyl@contoso.com,cn=April Stewart,(860) 555-4516,Salesperson
cn=Jordao Moreno,inetOrgPerson;person;organizationalPerson;posixAccount;top,jordaom,/home/jordaom,Marketing,Jordao,Moreno,Jordao Moreno,Jordao Moreno,jordaom@contoso.com,cn=Kelly Krout,(206) 555-6811,Marketing Specialist
cn=Josh Edwards,inetOrgPerson;person;organizationalPerson;posixAccount;top,joshe,/home/joshe,Sales,Josh,Edwards,Josh Edwards,Josh Edwards,joshe@contoso.com,cn=Lene Aalling,(026) 555-8454,Salesperson
cn=Chris Johnson,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisj,/home/chrisj,Marketing,Chris,Johnson,Chris Johnson,Chris Johnson,chrisj@contoso.com,cn=Kelly Krout,(206) 555-9000,Marketing Specialist
cn=Kris Johnsen,inetOrgPerson;person;organizationalPerson;posixAccount;top,krisj,/home/krisj,Operations,Kris,Johnsen,Kris Johnsen,Kris Johnsen,krisj@contoso.com,cn=Arturo Lopez,(206) 555-9001,IT Manager
cn=Chris Johnson [FINANCE],inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisjoh,/home/chrisjoh,Accounting,Chris,Johnson,Chris Johnson [FINANCE],Chris Johnson [FINANCE],chrisjoh@contoso.com,cn=Karim Manar,(206) 555-9002,Accountant
cn=Chris F. Johnson,inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisjohn,/home/chrisjohn,Engineering Operations,Chris,Johnson,Chris F. Johnson,Chris F. Johnson,chrisjohn@contoso.com,cn=Carol Troup,(206) 555-9003,Senior Engineer
cn=Chris Johnson [SALES],inetOrgPerson;person;organizationalPerson;posixAccount;top,chrisjohns,/home/chrisjohns,Sales Engagement Management,Chris,Johnson,Chris Johnson [SALES],Chris Johnson [SALES],chrisjohns@contoso.com,cn=April Stewart,(206) 555-9004,Salesperson
